component	occ_ttl	selected
47-5011	Derrick Operators, Oil and Gas	false
47-5012	Rotary Drill Operators, Oil and Gas	false
47-5013	Service Unit Operators, Oil and Gas	false
47-5022	Excavating and Loading Machine and Dragline Operators, Surface Mining	false
47-5023	Earth Drillers, Except Oil and Gas	false
47-5041	Continuous Mining Machine Operators	false
47-5043	Roof Bolters, Mining	false
47-5044	Loading and Moving Machine Operators, Underground Mining	false
47-5051	Rock Splitters, Quarry	false
47-5071	Roustabouts, Oil and Gas	false
47-5081	Helpers--Extraction Workers	false
49-1011	First-Line Supervisors of Mechanics, Installers, and Repairers	false
49-2011	Computer, Automated Teller, and Office Machine Repairers	false
49-2021	Radio, Cellular, and Tower Equipment Installers and Repairers	false
49-2022	Telecommunications Equipment Installers and Repairers, Except Line Installers	false
49-2091	Avionics Technicians	false
49-2092	Electric Motor, Power Tool, and Related Repairers	false
49-2093	Electrical and Electronics Installers and Repairers, Transportation Equipment	false
49-2094	Electrical and Electronics Repairers, Commercial and Industrial Equipment	false
49-2095	Electrical and Electronics Repairers, Powerhouse, Substation, and Relay	false
49-2096	Electronic Equipment Installers and Repairers, Motor Vehicles	false
49-2097	Audiovisual Equipment Installers and Repairers	false
49-2098	Security and Fire Alarm Systems Installers	false
49-3011	Aircraft Mechanics and Service Technicians	false
49-3021	Automotive Body and Related Repairers	false
49-3022	Automotive Glass Installers and Repairers	false
49-3023	Automotive Service Technicians and Mechanics	false
49-3031	Bus and Truck Mechanics and Diesel Engine Specialists	false
49-3041	Farm Equipment Mechanics and Service Technicians	false
49-3042	Mobile Heavy Equipment Mechanics, Except Engines	false
49-3043	Rail Car Repairers	false
49-3051	Motorboat Mechanics and Service Technicians	false
49-3052	Motorcycle Mechanics	false
49-3053	Outdoor Power Equipment and Other Small Engine Mechanics	false
49-3091	Bicycle Repairers	false
49-3092	Recreational Vehicle Service Technicians	false
49-3093	Tire Repairers and Changers	false
49-9011	Mechanical Door Repairers	false
49-9012	Control and Valve Installers and Repairers, Except Mechanical Door	false
49-9021	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	false
49-9031	Home Appliance Repairers	false
49-9041	Industrial Machinery Mechanics	false
49-9043	Maintenance Workers, Machinery	false
49-9044	Millwrights	false
49-9045	Refractory Materials Repairers, Except Brickmasons	false
49-9051	Electrical Power-Line Installers and Repairers	false
49-9052	Telecommunications Line Installers and Repairers	false
49-9061	Camera and Photographic Equipment Repairers	false
49-9062	Medical Equipment Repairers	false
49-9063	Musical Instrument Repairers and Tuners	false
49-9064	Watch and Clock Repairers	false
49-9071	Maintenance and Repair Workers, General	false
49-9081 | 49-9099	Installation, Maintenance, and Repair Workers, All Other; Wind Turbine Service Technicians	false
49-9091	Coin, Vending, and Amusement Machine Servicers and Repairers	false
49-9092	Commercial Divers	false
49-9094	Locksmiths and Safe Repairers	false
49-9095	Manufactured Building and Mobile Home Installers	false
49-9096	Riggers	false
49-9097	Signal and Track Switch Repairers	false
49-9098	Helpers--Installation, Maintenance, and Repair Workers	false
51-1011	First-Line Supervisors of Production and Operating Workers	false
51-2011	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	false
51-2021	Coil Winders, Tapers, and Finishers	false
51-2022 | 51-2023	Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers	false
51-2031	Engine and Other Machine Assemblers	false
51-2041	Structural Metal Fabricators and Fitters	false
51-2051	Fiberglass Laminators and Fabricators	false
51-2061	Timing Device Assemblers and Adjusters	false
51-2092 | 51-2099	Miscellaneous Assemblers and Fabricators	false
51-3011	Bakers	false
51-3021	Butchers and Meat Cutters	false
51-3022	Meat, Poultry, and Fish Cutters and Trimmers	false
51-3023	Slaughterers and Meat Packers	false
51-3091	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	false
51-3092	Food Batchmakers	false
51-3093	Food Cooking Machine Operators and Tenders	false
51-4021	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	false
51-4022	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	false
51-4023	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	false
51-4031	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	false
51-4032	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	false
51-4033	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	false
51-4034	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	false
51-4035	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	false
51-4041	Machinists	false
51-4051	Metal-Refining Furnace Operators and Tenders	false
51-4052	Pourers and Casters, Metal	false
51-4061	Model Makers, Metal and Plastic	false
51-4062	Patternmakers, Metal and Plastic	false
51-4071	Foundry Mold and Coremakers	false
51-4072	Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	false
51-4081	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	false
51-4111	Tool and Die Makers	false
51-4121	Welders, Cutters, Solderers, and Brazers	false
51-4122	Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders	false
51-4191	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	false
51-4192	Layout Workers, Metal and Plastic	false
51-4193	Plating Machine Setters, Operators, and Tenders, Metal and Plastic	false
51-4194	Tool Grinders, Filers, and Sharpeners	false
51-5111	Prepress Technicians and Workers	false
51-5112	Printing Press Operators	false
51-5113	Print Binding and Finishing Workers	false
51-6011	Laundry and Dry-Cleaning Workers	false
51-6021	Pressers, Textile, Garment, and Related Materials	false
51-6031	Sewing Machine Operators	false
51-6041	Shoe and Leather Workers and Repairers	false
51-6042	Shoe Machine Operators and Tenders	false
51-6051	Sewers, Hand	false
51-6052	Tailors, Dressmakers, and Custom Sewers	false
51-6061	Textile Bleaching and Dyeing Machine Operators and Tenders	false
51-6062	Textile Cutting Machine Setters, Operators, and Tenders	false
51-6063	Textile Knitting and Weaving Machine Setters, Operators, and Tenders	false
51-6064	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	false
51-6091	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers	false
51-6092	Fabric and Apparel Patternmakers	false
51-6093	Upholsterers	false
51-7011	Cabinetmakers and Bench Carpenters	false
51-7021	Furniture Finishers	false
51-7031	Model Makers, Wood	false
51-7032	Patternmakers, Wood	false
51-7041	Sawing Machine Setters, Operators, and Tenders, Wood	false
51-7042	Woodworking Machine Setters, Operators, and Tenders, Except Sawing	false
51-8011	Nuclear Power Reactor Operators	false
51-8012	Power Distributors and Dispatchers	false
51-8013	Power Plant Operators	false
51-8021	Stationary Engineers and Boiler Operators	false
51-8031	Water and Wastewater Treatment Plant and System Operators	false
51-8091	Chemical Plant and System Operators	false
51-8092	Gas Plant Operators	false
51-8093	Petroleum Pump System Operators, Refinery Operators, and Gaugers	false
51-9011	Chemical Equipment Operators and Tenders	false
51-9012	Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders	false
51-9021	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	false
51-9022	Grinding and Polishing Workers, Hand	false
51-9023	Mixing and Blending Machine Setters, Operators, and Tenders	false
51-9031	Cutters and Trimmers, Hand	false
51-9032	Cutting and Slicing Machine Setters, Operators, and Tenders	false
51-9041	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	false
51-9051	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	false
51-9061	Inspectors, Testers, Sorters, Samplers, and Weighers	false
