account	year	gfcf	volume
481	2005	562.9651021211886	537.7790422393484
481	2006	538.1091443054786	513.8270160289007
481	2007	709.1066390141017	680.3046972185105
481	2008	777.2352158083897	734.521569965527
481	2009	723.7398955678714	714.7657567053101
481	2010	731.175026656548	732.1946965054564
481	2011	830.7601821564873	841.7948475433257
481	2012	1034.4078799334306	1036.361215068366
481	2013	1142.5910205361151	1165.2426342767687
481	2014	1087.7628869260548	1113.477569891826
481	2015	842.6780047901057	856.7360900946662
481	2016	840.0950045177495	851.9147140405247
481	2017	928.8502977271559	928.8502977271559
481	2018	1233.7742004419556	1213.099158322008
481	2019	1430.189328651532	1352.3166389647558
481	2020	1101.4020424175765	1076.599574997519
481	2021	829.4266490320213	794.7432601891073
481	2022	1234.5872654553082	1160.63037404968
481	2023	1914.5078864380944	1812.7340128529668
482	1997	70.64313131593673	82.17292442992797
482	1998	77.80008935953192	87.0713913326925
482	1999	83.03395997272055	89.91349900937544
482	2000	95.28013002087754	94.6311409634326
482	2001	114.26771496907699	107.4901685054308
482	2002	85.71008431126916	82.38636015393428
482	2003	120.57093812940909	114.40302026878807
482	2004	100.40980526526789	95.52098940301244
482	2005	113.91082492363856	108.8146567119561
482	2006	143.08230496731423	136.6257284157133
482	2007	183.42409779299925	175.97392048837278
482	2008	247.96946981611387	234.3420892006438
482	2009	207.77326047133016	205.1969397478003
482	2010	212.82152338421818	213.11831646751858
482	2011	228.5246885274327	231.5600933586872
482	2012	273.3773233520962	273.89355833169884
482	2013	243.34673726501805	248.1710323964371
482	2014	268.43229294441915	274.7780245315183
482	2015	249.89323708996397	254.0621134864928
482	2016	229.97297613139872	233.20857896363037
482	2017	272.456739154345	272.456739154345
482	2018	311.77914194170216	306.55448503976913
482	2019	311.6824020981434	294.7115392248327
482	2020	414.6199875817139	405.28316202877824
482	2021	340.2485345796246	326.0206673633627
482	2022	416.94483002477773	391.96810753695235
482	2023	379.7934155716769	359.6038685143551
483	1997	30.504288767592463	35.482948858505566
483	1998	30.364854204591	33.98338131708288
483	1999	33.19915808396379	35.94977848190387
483	2000	39.03688195252467	38.77098696247367
483	2001	49.563773849753645	46.62400402700655
483	2002	93.65389829481246	90.02212349617156
483	2003	95.05476307829066	90.19214875328291
483	2004	113.16346772194517	107.65369350651558
483	2005	84.54729555885238	80.76479955551311
483	2006	92.91157563414811	88.71894887468426
483	2007	93.03272296913727	89.25399220479424
483	2008	144.1257474898931	136.20519009631406
483	2009	135.69810235625621	134.01549010648438
483	2010	134.88294039983714	135.07104319662815
483	2011	134.26020666843786	136.0435329365653
483	2012	123.92969368716052	124.16371764389649
483	2013	142.7509396957887	145.58094543623918
483	2014	168.36168918013553	172.3417546088094
483	2015	163.17406331090348	165.8962358233898
483	2016	142.3017353944603	144.3038484506079
483	2017	112.34998854949184	112.34998854949184
483	2018	121.81258734746038	119.77130590937679
483	2019	154.7060750677442	146.28245035242873
483	2020	177.98121461176677	173.9732564758794
483	2021	144.4914236761656	138.4493556552318
483	2022	217.05289511095148	204.05052756500268
483	2023	255.33495272543485	241.7615287742333
484	1997	539.2893299135261	627.3077159428443
484	1998	597.7282260798884	668.9584640846122
484	1999	667.3732258857714	722.6665078273746
484	2000	759.6632588702973	754.4889046556063
484	2001	783.5238784695366	737.0508261892784
484	2002	871.4784187479614	837.6836337321243
484	2003	826.5302353878153	784.2483167075432
484	2004	913.738696634771	869.2500112692007
484	2005	945.552051593742	903.2497303608527
